Nombre;Escala;Detalle;Serie;Year;Embalaje;Peso;Precio
ZGMF-X20A Strike Freedom Gundam ;1/100;Master Grade;MG Gundam SEED;2006;13970,76;923;45,48
ZGMF-X20A Strike Freedom Gundam Extra Finish Ver. ;1/100;Master Grade;MG Gundam SEED;2008;13327,42;998;94,75
ZGMF-X20A Strike Freedom Gundam Full Burst Mode ;1/100;Master Grade;MG Gundam SEED;2006;17974,3;1254;66,33
ZGMF-X42S Destiny Gundam ;1/100;Master Grade;MG Gundam SEED;2007;11514,95;812;45,48
ZGMF-X42S Destiny Gundam Extreme Blast Mode ;1/100;Master Grade;MG Gundam SEED;2007;13254,51;1023;66,33
ZGMF-X56S Force Impulse Gundam ;1/100;Master Grade;MG Gundam SEED;2008;11514,95;852;42,64
00 Raiser ;1/100;No-Grade;Gundam ;2009;;780;47,38
Aegis Gundam ;1/100;No-Grade;Gundam SEED ;2003;6944;518;20,85
Aile Strike Gundam ;1/100;No-Grade;Gundam SEED ;2002;6386;470;18,95
Akatsuki Gundam ;1/100;No-Grade;SEED Destiny ;2007;9990,06;846;61,59
Beruga Giros ;1/100;No-Grade;Gundam F;;3306;291;7,9
Blaze Zaku Phantom ;1/100;No-Grade;SEED Destiny ;2005;6770,4;560;24,64
Blaze Zaku Phantom Heine Use ;1/100;No-Grade;SEED Destiny ;2005;6944;555;24,64
